north-avenue-east,North Avenue East,East,120 North Avenue NW,4829,"[4, 6]",['Undergraduate'],Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/nae-building.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/naa-living-room-red.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/nae_livingroom5_web.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/naa-bedroom-blue.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/nae_kitchen2_web.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/naa-bathroom-flowers.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/naa-workout.jpeg']",-84.390978,33.7700703
north-avenue-north,North Avenue North,East,120 North Avenue NW,4829,"[3, 4, 6]",['Undergraduate'],Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/building-at-night.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/nan_lobby3_web.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/nan_livingroom_web.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/nan_kitchen4_web.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/nan-teal-bedroom.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/nan_study2_web.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/naa-courtyard.jpeg']",-84.390978,33.7700703
north-avenue-south,North Avenue South,East,120 North Avenue NW,4829,"[4, 6]",['Undergraduate'],Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/building_10.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/naa-courtyard_0.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/nas_study_web.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/nas_livingroom_eb.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/nas_kitchen_web.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/nas_kitchen2_web.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/naa-purple-bedroom.jpeg']",-84.390978,33.7700703
north-avenue-west,North Avenue West,East,120 North Avenue NW,4829,"[4, 6]",['Undergraduate'],Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/naw-building.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/naa-courtyard_1.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/nae-living-room_0.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/naw_bedroom3_web_0.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/naw_bedroom1web.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/naa-gym.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/naa-workout_1.jpeg']",-84.390978,33.7700703
perry,Perry,East,711 Techwood Dr NW,3459,[2],"['First-Year Experience (FE)', 'Global Leadership']",Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/perry-building.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/mathesonsunroom002_0.png', 'https://housing.gatech.edu/sites/default/files/2022-04/perrymathesonlounge003_0.png', 'https://housing.gatech.edu/sites/default/files/2022-04/perrymathesonlounge004_0.png', 'https://housing.gatech.edu/sites/default/files/2022-04/gtconnectorworkout002_3.jpeg']",-84.3916552,33.7742378
smith,Smith,East,630 Williams St NW,3459,"[2, 3, 4]",['First-Year Experience (FE)'],Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/smith.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/Smith-Hall-2nd-Floor-Lounge-8430-Low-Res.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/Smith-Hall-2nd-Floor-Lounge-8488-Low-Res.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/smithkitchen005.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/smithworkout004_0.gif', 'https://housing.gatech.edu/sites/default/files/2022-04/quad-bedroom.jpg', 'https://housing.gatech.edu/sites/default/files/2022-04/smithlearningcenter002.gif']",-84.3913106,33.7717018
stein-house,Stein House,East,733 Techwood Dr NW,4460,[1],"['Women', 'Science', '& Technology(WST)']",Apartment,"['https://housing.gatech.edu/sites/default/files/2022-05/steinoutside001_web.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-05/goldensteinkitchen002_web.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-05/bedroom_13.jpeg']",-84.3915931,33.7748716
tenth-and-home-bldg-a,Tenth and Home Bldg A,North,251 10th Street,5296,"[1, 2]","['Family', 'Graduate']",Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/TenthHome-A.png', 'https://housing.gatech.edu/sites/default/files/2022-04/playground_0.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/activity-room_0.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/ga_oct2013_1b-panorama.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/unfurnished_kitchen.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/unfurnished-bedroom_0.jpeg']",-84.3958748,33.7825226
tenth-and-home-bldg-b,Tenth and Home Bldg B,North,251 10th Street,5008,"[1, 2]","['Family', 'Graduate']",Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/TenthHome-B.png', 'https://housing.gatech.edu/sites/default/files/2022-04/activity-room_0_0.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/activity-room-kitchen.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/bathroom_5.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/ga_oct2013_1b-panorama_0.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/kitchen_7.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/unfurnished-bedroom_0_0.jpeg']",-84.3958748,33.7825226
tenth-and-home-bldg-c,Tenth and Home Bldg C,North,251 10th Street,6164,"[2, 3, 4]","['Family', 'Graduate']",Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/TenthHome-C.png', 'https://housing.gatech.edu/sites/default/files/2022-04/playground_2.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/activity-room_2.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/ga_oct2013_1b-panorama_1.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/195alaundry_0.jpeg']",-84.3958748,33.7825226
tenth-and-home-bldg-d,Tenth and Home Bldg D,North,251 10th Street,5008,[2],['Graduate'],Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/TenthHome-D.png', 'https://housing.gatech.edu/sites/default/files/2022-04/activity-room_3.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/kitchen_11.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/living-room-and-hall_1.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/bedroom_19.jpeg']",-84.3958748,33.7825226
tenth-and-home-bldg-e,Tenth and Home Bldg E,North,251 10th Street,5008,"[1, 2]",['Graduate'],Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/TenthHome-E.png', 'https://housing.gatech.edu/sites/default/files/2022-04/activity-room_4.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/kitchen_13.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/living-room-and-hall_2.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/bedroom_20_0.jpeg']",-84.3958748,33.7825226
tenth-and-home-bldg-f,Tenth and Home Bldg F,North,251 10th Street,5008,[2],['Graduate'],Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/TenthHome-F0.png', 'https://housing.gatech.edu/sites/default/files/2022-04/activity-room_7.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/kitchen_17.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/living-room-and-hall_4.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/bedroom_22.jpeg']",-84.3958748,33.7825226
tenth-and-home-bldg-g,Tenth and Home Bldg G,North,251 10th Street,5008,[2],['Graduate'],Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/TenthHome-G2A.png', 'https://housing.gatech.edu/sites/default/files/2022-04/activity-room_5.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/living-room-and-hall_3.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/kitchen_15.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/bedroom_21.jpeg']",-84.3958748,33.7825226
towers,Towers,East,112 Bobby Dodd Way,3459,"[2, 3, 4]",['First-Year Experience (FE)'],Traditional,"['https://housing.gatech.edu/sites/default/files/2022-04/Towers.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/gatech_oct_2019_rooms_014_bedroom.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/gt-connector_0.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/gt-workout_0.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/lounge_1.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/study.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/bathroom_8.jpeg']",-84.3910328,33.7736049
woodruff-north,Woodruff North,West,890 Curran Street,3610,[4],['First-Year Experience (FE)'],Suite,"['https://housing.gatech.edu/sites/default/files/2022-04/WoodruffNorth.png', 'https://housing.gatech.edu/sites/default/files/2022-04/gatech_oct_2019_rooms_066_bedroom.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/wdn_suite_web.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/wdf-connector_0.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/wdsbike001_web_0.jpeg']",-84.4063151,33.7788316
woodruff-south,Woodruff South,West,890 Curran Street,4460,"[2, 4]",['First-Year Experience (FE)'],Suite,"['https://housing.gatech.edu/sites/default/files/2022-04/WoodruffSouth.png', 'https://housing.gatech.edu/sites/default/files/2022-04/wdslounge003web.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/wdf-connector.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/wdn_room_questionable2_web_0.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/wdn_suite_web_0.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/single-suite-bath.png', 'https://housing.gatech.edu/sites/default/files/2022-04/wdsbike001_web.jpeg']",-84.4063151,33.7788316
zbar,Zbar,West,501 6th Street,4829,"[2, 4, 6]",['Undergraduate'],Apartment,"['https://housing.gatech.edu/sites/default/files/2022-04/zbar.png', 'https://housing.gatech.edu/sites/default/files/2022-04/zbar_bedroom_web.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/zbar_bedroom5_web.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/zbar_kitchen2_web.jpeg', 'https://housing.gatech.edu/sites/default/files/2022-04/zbar_study001_web.jpeg']",-84.40493655,33.77763964
